--ICPC-2n DAT bl 154b file with filename: c:\ICPC-2n-v40-DATTXT_CSV.txt
--(Interncode: V403e) V01-2008-09-22(2008-09-25 12:01:58.603)
--This file is generated by KITH AS  Norway Dr.Terje Sagen 2008-09-25 12:02:59.040
--This file can be downloaded from http://www.kith.no/ICPC2e
--It contains 740 rows
--Columns: ICPC2_Code,Title,Shorttitle,Icd10_DATCODE,Icd10_DATTEXT,ICD_DATCODE_DATTEXT
"A87","Komplikasjon etter medisinsk behandling","Komplikasjon etter behandling","T889","Ikke spesifisert komplikasjon til kirurgisk og medisinsk behandling","T889 Ikke spesifisert komplikasjon til kirurgisk og medisinsk behandling"
"A88","Skadevirkning av fysisk faktor","Skadevirkning av fysisk faktor","T758","Andre spesifiserte skadevirkninger av ytre påvirkning","T758 Andre spesifiserte skadevirkninger av ytre påvirkning"
"A89","Komplikasjoner/problemer med protese","Komplikasjoner/problemer med protese","T859","Uspesifisert komplikasjon ved innvendig protese, implantat og transplantat","T859 Uspesifisert komplikasjon ved innvendig protese, implantat og transplantat"
"A90","Medfødt feil IKA/multiple medfødte feil","Medfødt feil IKA/multiple feil","Q899","Uspesifisert medfødt misdannelse","Q899 Uspesifisert medfødt misdannelse"
"A91","Unormalt resultat ved undersøkelse IKA","Unormalt funn ved undersøkelse IKA","R899","Unormale resultater ved funksjonsstudier av andre spesifiserte organer og systemer","R899 Unormale resultater ved funksjonsstudier av andre spesifiserte organer og systemer"
"A92","Allergi/allergisk reaksjon IKA","Allergi/allergisk reaksjon IKA","T784","Uspesifisert allergi","T784 Uspesifisert allergi"
"A93","Prematurt/immaturt født barn","Prematurt/immaturt levendefødt barn","P073","Andre for tidlig fødte barn","P073 Andre for tidlig fødte barn"
"A94","Perinatal sykelighet IKA","Perinatal sykelighet IKA","P969","Uspesifisert tilstand som oppstår i perinatalperioden","P969 Uspesifisert tilstand som oppstår i perinatalperioden"
"A95","Perinatal død","Perinatal død","P95","Fosterdød, uspesifisert årsak","P95 Fosterdød, uspesifisert årsak"
"A96","Død/dødsfall IKA","Død/dødsfall IKA","R99","Andre dårlig definerte og uspesifiserte dødsårsaker","R99 Andre dårlig definerte og uspesifiserte dødsårsaker"
"A97","Kontakt/undersøkelse for administrativt formål","Administrativ kontakt/undersøkelse","Z029","Uspesifisert undersøkelse for administrative formål","Z029 Uspesifisert undersøkelse for administrative formål"
"A98","Individforebyggende tiltak","Individforebyggende tiltak","Z518","Annet spesifisert behandlingstiltak","Z518 Annet spesifisert behandlingstiltak"
"A99","Helseproblem/sykdom ikke spesifisert/lokalisert","Helseproblem/sykdom IKA","R69","Ukjente og uspesifiserte sykdomsårsaker","R69 Ukjente og uspesifiserte sykdomsårsaker"
"B02","Lymfeknuter forstørrede/smertefulle","Lymfeknuter forstørrede/smertefulle","R599","Uspesifiserte forstørrede lymfeknuter","R599 Uspesifiserte forstørrede lymfeknuter"
"B04","Blod/blodsystemet symptomer/plager","Blod/blodsystemet symptomer/plager","R688","Andre spesifiserte generelle symptomer og tegn","R688 Andre spesifiserte generelle symptomer og tegn"
"B25","Engstelig for HIV/AIDS","Engstelig for HIV/AIDS","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"B26","Engstelig for kreft i blod- og lymfesystemet","Engstelig for kreft blod/lymfesystem","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"B27","Engstelig for sykdom i blod- og lymfesystemet IKA","Engstelig for blod/lymfe sykdom IKA","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"B28","Redusert funksjonsevne pga blod/lymfe-problem","Redus funksjonsevne pga blod/lymfe","Z736","Begrensning i aktiviteter grunnet uførhet","Z736 Begrensning i aktiviteter grunnet uførhet"
"B29","Blod/lymfesystem symptomer/plager IKA","Blod/lymfesystem sympt/plager IKA","R688","Andre spesifiserte generelle symptomer og tegn","R688 Andre spesifiserte generelle symptomer og tegn"
"B70","Lymfadenitt akutt","Lymfadenitt akutt","L049","Uspesifisert akutt lymfadenitt","L049 Uspesifisert akutt lymfadenitt"
"B71","Lymfadenitt kronisk/uspesifikk","Lymfadenitt kronisk/uspesifikk","I889","Uspesifisert uspesifikk lymfadenitt","I889 Uspesifisert uspesifikk lymfadenitt"
"B72","Hodgkins sykdom/lymfom","Hodgkins sykdom/lymfom","C819","Hodgkins sykdom, uspesifisert (M 9650/3)","C819 Hodgkins sykdom, uspesifisert (M 9650/3)"
"B72","Hodgkins sykdom/lymfom","Hodgkins sykdom/lymfom","C859","Non-Hodgkins lymfom, uspesifisert","C859 Non-Hodgkins lymfom, uspesifisert"
"B73","Leukemi","Leukemi","C959","Leukemi, uspesifisert (M 9800/3)","C959 Leukemi, uspesifisert (M 9800/3)"
"B74","Ondartet svulst i blod/lymfesystemet IKA","Ondartet svulst blod/lymfesystem IKA","C969","Ondartet svulst utgått fra lymfoid, hematopoetisk eller beslektet vev, uspesifisert","C969 Ondartet svulst utgått fra lymfoid, hematopoetisk eller beslektet vev, uspesifisert"
"B75","Godartet/uspesifisert svulst i blod/lymfesystemet","Godartet/uspes svulst blod/lymfe","D479","Svulst med usikkert eller ukjent malignitetspotensial i lymfoid, hematopoetisk eller beslektet vev, uspesifisert","D479 Svulst med usikkert eller ukjent malignitetspotensial i lymfoid, hematopoetisk eller beslektet vev, uspesifisert"
"B76","Miltruptur traumatisk","Miltruptur traumatisk","S360","Skade på milt","S360 Skade på milt"
"B77","Skade i blod/lymfesystemet IKA","Skade blod/lymfesystem IKA","T149","Uspesifisert skade","T149 Uspesifisert skade"
"B78","Arvelig hemolytisk anemi","Arvelig hemolytisk anemi","D589","Uspesifisert arvelig hemolytisk anemi","D589 Uspesifisert arvelig hemolytisk anemi"
"B79","Medfødt feil i blod/lymfesystemet IKA","Medfødt feil blod/lymfesystem IKA","Q898","Andre spesifiserte medfødte misdannelser","Q898 Andre spesifiserte medfødte misdannelser"
"B80","Jernmangelanemi","Jernmangelanemi","D509","Uspesifisert jernmangelanemi","D509 Uspesifisert jernmangelanemi"
"B81","Anemi ved vitamin B12-/folinsyremangel","Anemi B12/folinsyremangel","D539","Uspesifisert mangelanemi","D539 Uspesifisert mangelanemi"
"B82","Anemi IKA","Anemi IKA","D649","Uspesifisert anemi","D649 Uspesifisert anemi"
"B83","Purpura/koagulasjonsdefekt","Purpura/koagulasjonsdefekt","D699","Uspesifisert blødningstilstand","D699 Uspesifisert blødningstilstand"
"B84","Unormale hvite blodceller","Unormale hvite blodceller","R72","Unormale forhold ved hvite blodceller, ikke klassifisert annet sted","R72 Unormale forhold ved hvite blodceller, ikke klassifisert annet sted"
"B87","Forstørret milt","Forstørret milt","R161","Splenomegali, ikke klassifisert annet sted","R161 Splenomegali, ikke klassifisert annet sted"
"B90","HIV-sykdom/AIDS","HIV-sykdom/AIDS","B24","Uspesifisert humant immunsviktvirus-sykdom","B24 Uspesifisert humant immunsviktvirus-sykdom"
"B99","Blod/lymfe/milt sykdom IKA","Blod/lymfe/milt sykdom IKA","D759","Uspesifisert sykdom i blod og bloddannende organer","D759 Uspesifisert sykdom i blod og bloddannende organer"
"D01","Abdominalsmerte/krampe generell","Abdominalsmerte/krampe generell","R104","Annen og uspesifisert smerte i buk og bekken","R104 Annen og uspesifisert smerte i buk og bekken"
"D02","Abdominalsmerte epigastriet","Abdominalsmerte epigastriet","R101","Smerte lokalisert til øvre abdomen","R101 Smerte lokalisert til øvre abdomen"
"D03","Halsbrann","Halsbrann","R12","Halsbrann","R12 Halsbrann"
"D04","Endetarmssmerte","Endetarmssmerte","R102","Smerte i bekken og perineum","R102 Smerte i bekken og perineum"
"D05","Perianal kløe","Perianal kløe","L290","Pruritus ani","L290 Pruritus ani"
"D06","Abdominalsmerte lokalisert IKA","Abdominalsmerte lokalisert IKA","R103","Smerte lokalisert til andre deler av nedre abdomen","R103 Smerte lokalisert til andre deler av nedre abdomen"
"D07","Dyspepsi/fordøyelsesbesvær","Dyspepsi/fordøyelsesbesvær","K30","Dyspepsi (dyspepsia)","K30 Dyspepsi (dyspepsia)"
"D08","Flatulens/oppblåsthet/raping","Flatulens/oppblåsthet/raping","R14","Flatulens og beslektede tilstander","R14 Flatulens og beslektede tilstander"
"D09","Kvalme","Kvalme","R11","Kvalme og oppkast","R11 Kvalme og oppkast"
"D10","Oppkast/brekninger","Oppkast/brekninger","R11","Kvalme og oppkast","R11 Kvalme og oppkast"
"D11","Diaré","Diaré","K591","Funksjonell diaré","K591 Funksjonell diaré"
"D12","Forstoppelse","Forstoppelse","K590","Forstoppelse","K590 Forstoppelse"
"D13","Gulsott","Gulsott","R17","Uspesifisert gulsott (icterus)","R17 Uspesifisert gulsott (icterus)"
"D14","Oppkast med blod/hematemese","Oppkast med blod/hematemese","K920","Hematemese","K920 Hematemese"
"D15","Melena","Melena","K921","Melena","K921 Melena"
"D16","Rektalblødning","Rektalblødning","K625","Blødning i endetarmsåpning, analkanal og endetarm","K625 Blødning i endetarmsåpning, analkanal og endetarm"
"D17","Inkontinens avføring","Inkontinens avføring","R15","Ufrivillig avføring","R15 Ufrivillig avføring"
"D18","Endring i avføring/avføringsvane","Endring i avføring/avføringsvane","R194","Forandring i avføringsvane","R194 Forandring i avføringsvane"
"D19","Tenner/tannkjøtt symptomer/plager","Tenner/tannkjøtt symptomer/plager","K089","Uspesifisert forstyrrelse i tenner og støttevev","K089 Uspesifisert forstyrrelse i tenner og støttevev"
"D20","Munn/tunge/leppe symptomer/plager","Munn/tunge/lepper symptomer/plager","R198","Andre spesifiserte symptomer og tegn med tilknytning til fordøyelsessystemet og buken","R198 Andre spesifiserte symptomer og tegn med tilknytning til fordøyelsessystemet og buken"
"D21","Svelgebesvær","Svelgebesvær","R13","Dysfagi","R13 Dysfagi"
"D23","Forstørret lever","Forstørret lever","R160","Hepatomegali, ikke klassifisert annet sted","R160 Hepatomegali, ikke klassifisert annet sted"
"D24","Abdominal oppfylling/kul IKA","Abdominal oppfylling/kul IKA","R190","Hevelse, oppfylling og kul i buk og bekken","R190 Hevelse, oppfylling og kul i buk og bekken"
"D25","Utspilt abdomen","Utspilt abdomen","R190","Hevelse, oppfylling og kul i buk og bekken","R190 Hevelse, oppfylling og kul i buk og bekken"
"D26","Engstelig for kreft i fordøyelsessystemet","Engstelig for kreft fordøyelsesyst","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"D27","Engstelig for sykdom i fordøyelsessystemet IKA","Engstelig for fordøyelsesykdom IKA","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"D28","Redusert funksjonsevne pga fordøyelsesproblem","Redusert funksjonsevne fordøy probl","Z736","Begrensning i aktiviteter grunnet uførhet","Z736 Begrensning i aktiviteter grunnet uførhet"
"D29","Fordøyelsessystemet symptomer/plager IKA","Fordøyelsesyst symptomer/plager IKA","R198","Andre spesifiserte symptomer og tegn med tilknytning til fordøyelsessystemet og buken","R198 Andre spesifiserte symptomer og tegn med tilknytning til fordøyelsessystemet og buken"
"D70","Tarminfeksjon","Tarminfeksjon","A049","Uspesifisert bakteriell tarminfeksjon","A049 Uspesifisert bakteriell tarminfeksjon"
"D71","Kusma","Kusma","B269","Kusma uten komplikasjoner","B269 Kusma uten komplikasjoner"
"D72","Virushepatitt","Virushepatitt","B199","Uspesifisert virushepatitt uten koma","B199 Uspesifisert virushepatitt uten koma"
"D73","Gastroenteritt antatt infeksiøs","Gastroenteritt antatt infeksiøs","A09","Diaré og gastroenteritt med antatt infeksiøs årsak","A09 Diaré og gastroenteritt med antatt infeksiøs årsak"
"D74","Ondartet svulst i magesekk","Ondartet svulst magesekk","C169","Magesekk (ventriculus) , uspesifisert","C169 Magesekk (ventriculus) , uspesifisert"
"D75","Ondartet svulst i tykktarm/endetarm","Ondartet svulst tykktarm/endetarm","C189","Tykktarm (colon), uspesifisert","C189 Tykktarm (colon), uspesifisert"
"D76","Ondartet svulst i bukspyttkjertel","Ondartet svulst bukspyttkjertel","C259","Bukspyttkjertel (pancreas), uspesifisert","C259 Bukspyttkjertel (pancreas), uspesifisert"
"D77","Ondartet svulst i fordøyelsessystemet IKA","Ondartet svulst fordøyelsesyst IKA","C269","Ufullstendig angitte lokalisasjoner innen fordøyelsessystemet","C269 Ufullstendig angitte lokalisasjoner innen fordøyelsessystemet"
"D78","Godartet/uspesifisert svulst i fordøyelsesystemet","Godartet/uspes svulst fordøyelsessys","D139","Ufullstendig angitte lokalisasjoner innen fordøyelsessystemet","D139 Ufullstendig angitte lokalisasjoner innen fordøyelsessystemet"
"D79","Fremmedlegeme i fordøyelsesystemet","Fremmedlegeme fordøyelsessystemet","T189","Fremmedlegeme i fordøyelseskanal, uspesifisert del","T189 Fremmedlegeme i fordøyelseskanal, uspesifisert del"
"D80","Skade i fordøyelsessystemet IKA","Skade fordøyelsesystemet IKA","S369","Skade på uspesifisert organ i bukhule","S369 Skade på uspesifisert organ i bukhule"
"D81","Medfødt feil i fordøyelsessystemet","Medfødt feil fordøyelsesystem","Q459","Uspesifisert medfødt misdannelse i fordøyelsessystem","Q459 Uspesifisert medfødt misdannelse i fordøyelsessystem"
"D82","Tenner/tannkjøtt sykdom","Tenner/tannkjøtt sykdom","K089","Uspesifisert forstyrrelse i tenner og støttevev","K089 Uspesifisert forstyrrelse i tenner og støttevev"
"D83","Munn/tunge/lepper sykdom","Munn/tunge/lepper sykdom","K137","Andre og uspesifiserte lesjoner i munnslimhinne","K137 Andre og uspesifiserte lesjoner i munnslimhinne"
"D84","Spiserørssykdom","Spiserørssykdom","K229","Uspesifisert sykdom i spiserør","K229 Uspesifisert sykdom i spiserør"
"D85","Sår i tolvfingertarm","Sår i tolvfingertarm","K269","Sår i tolvfingertarm + ;uspes som akutt/kron, u/blødn el perf","K269 Sår i tolvfingertarm + ;uspes som akutt/kron, u/blødn el perf"
"D86","Magesår IKA","Magesår IKA","K279","Magesår, uspes lok + ;uspes som akutt/kron, u/blødn el perf","K279 Magesår, uspes lok + ;uspes som akutt/kron, u/blødn el perf"
"D87","Funksjonelle plager i magesekk","Funksjonelle plager magesekk","K299","Uspesifisert gastroduodenitt","K299 Uspesifisert gastroduodenitt"
"D88","Appendisitt","Appendisitt","K37","Uspesifisert appendisitt (appendicitis)","K37 Uspesifisert appendisitt (appendicitis)"
"D89","Lyskebrokk","Lyskebrokk","K409","Enkeltsidig eller uspesifisert lyskebrokk uten obstruksjon eller gangren","K409 Enkeltsidig eller uspesifisert lyskebrokk uten obstruksjon eller gangren"
"D90","Mellomgulvsbrokk","Mellomgulvsbrokk","K449","Mellomgulvsbrokk uten obstruksjon eller gangren","K449 Mellomgulvsbrokk uten obstruksjon eller gangren"
"D91","Abdominalt brokk IKA","Abdominalt brokk IKA","K469","Uspesifisert abdominalt brokk uten obstruksjon eller gangren","K469 Uspesifisert abdominalt brokk uten obstruksjon eller gangren"
"D92","Divertikkelsykdom i tarm","Divertikkelsykdom i tarm","K579","Divertikkelsykdom i tarm, uspesifisert del, uten perforasjon eller abscess","K579 Divertikkelsykdom i tarm, uspesifisert del, uten perforasjon eller abscess"
"D93","Irritabel tarm-syndrom","Irritabel tarm-syndrom","K589","Irritabel tarm-syndrom uten diaré","K589 Irritabel tarm-syndrom uten diaré"
"D94","Kronisk enteritt/ulcerøs kolitt","Kronisk enteritt/ulcerøs kolitt","K529","Uspesifisert ikke-infeksiøs gastroenteritt og kolitt","K529 Uspesifisert ikke-infeksiøs gastroenteritt og kolitt"
"D95","Analfissur/perianal abscess","Analfissur/perianal abscess","K639","Uspesifisert sykdom i tarm","K639 Uspesifisert sykdom i tarm"
"D96","Orme-/parasittsykdom","Orme-/parasittsykdom","B839","Uspesifisert ormesykdom","B839 Uspesifisert ormesykdom"
"D97","Leversykdom IKA","Leversykdom IKA","K769","Uspesifisert leversykdom","K769 Uspesifisert leversykdom"
"D98","Galleveisbetennelse/gallesten","Galleveisbetennelse/gallesten","K839","Uspesifisert sykdom i galleveier","K839 Uspesifisert sykdom i galleveier"
"D99","Sykdom i fordøyelsessystemet IKA","Sykdom i fordøyelsessystemet IKA","K929","Uspesifisert sykdom i fordøyelsessystemet","K929 Uspesifisert sykdom i fordøyelsessystemet"
"F01","Øyesmerte","Øyesmerte","H571","Øyesmerter","H571 Øyesmerter"
"F02","Rødt øye","Rødt øye","H578","Andre spesifiserte sykdommer i øyet og øyets omgivelser","H578 Andre spesifiserte sykdommer i øyet og øyets omgivelser"
"F03","Tåreflod/sekresjon øye","Tåreflod/sekresjon øye","H042","Tåreflod","H042 Tåreflod"
"F04","Synlige flekker/tråder i synsfeltet","Synlige flekker/tråder i synsfelt","H531","Subjektive synsforstyrrelser","H531 Subjektive synsforstyrrelser"
"F05","Synsforstyrrelse IKA","Synsforstyrrelse IKA","H539","Uspesifisert synsforstyrrelse","H539 Uspesifisert synsforstyrrelse"
"F13","Øye unormal følelse","Øye unormal følelse","H578","Andre spesifiserte sykdommer i øyet og øyets omgivelser","H578 Andre spesifiserte sykdommer i øyet og øyets omgivelser"
"F14","Øye unormal bevegelse","Øye unormal bevegelse","H55","Nystagmus og andre irregulære øyebevegelser","H55 Nystagmus og andre irregulære øyebevegelser"
"F15","Øye unormalt utseende","Øye unormalt utseende","H578","Andre spesifiserte sykdommer i øyet og øyets omgivelser","H578 Andre spesifiserte sykdommer i øyet og øyets omgivelser"
"F16","Øyelokk symptomer/plager","Øyelokk symptomer/plager","H029","Uspesifisert tilstand i øyelokk","H029 Uspesifisert tilstand i øyelokk"
"F17","Briller symptomer/plager","Briller symptomer/plager","Z460","Tilpasning og justering av briller og kontaktlinser","Z460 Tilpasning og justering av briller og kontaktlinser"
"F18","Kontaktlinser symptomer/plager","Kontaktlinser symptomer/plager","Z460","Tilpasning og justering av briller og kontaktlinser","Z460 Tilpasning og justering av briller og kontaktlinser"
"F27","Engstelig for øyesykdom","Engstelig for øyesykdom","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"F28","Redusert funksjonsevne pga øyeproblem","Redusert funksjonsevne pga øyeprobl","Z736","Begrensning i aktiviteter grunnet uførhet","Z736 Begrensning i aktiviteter grunnet uførhet"
"F29","Øye symptomer/plager IKA","Øye symptomer/plager IKA","H579","Uspesifisert sykdom i øyet og øyets omgivelser","H579 Uspesifisert sykdom i øyet og øyets omgivelser"
"F70","Infeksiøs konjunktivitt","Infeksiøs konjunktivitt","H109","Uspesifisert konjunktivitt","H109 Uspesifisert konjunktivitt"
"F71","Allergisk konjunktivitt","Allergisk konjunktivitt","H101","Allergisk (akutt atopisk) konjunktivitt","H101 Allergisk (akutt atopisk) konjunktivitt"
"F72","Øyelokkbetennelse","Øyelokkbetennelse","H019","Uspesifisert betennelse i øyelokk","H019 Uspesifisert betennelse i øyelokk"
"F73","Øye infeksjon/betennelse IKA","Øye infeksjon/betennelse IKA","H579","Uspesifisert sykdom i øyet og øyets omgivelser","H579 Uspesifisert sykdom i øyet og øyets omgivelser"
"F74","Svulst i øye/øyehule","Svulst i øye/øyehule","D487","Andre spesifiserte lokalisasjoner","D487 Andre spesifiserte lokalisasjoner"
"F75","Kontusjon/blødning i øye","Kontusjon/blødning i øye","S001","Kontusjon av øyelokk og område omkring øye","S001 Kontusjon av øyelokk og område omkring øye"
"F76","Fremmedlegeme i øye","Fremmedlegeme øye","T159","Fremmedlegeme i fremre del av øye, uspesifisert del","T159 Fremmedlegeme i fremre del av øye, uspesifisert del"
"F79","Skade i øye IKA","Skade øye IKA","S059","Uspesifisert skade på øye og øyehule","S059 Uspesifisert skade på øye og øyehule"
"F80","Tåreveisstenose/atresi hos spedbarn","Tåreveisstenose/atresi spedbarn","Q105","Medfødt stenose og striktur i tårekanal (ductus nasolacrimalis)","Q105 Medfødt stenose og striktur i tårekanal (ductus nasolacrimalis)"
"F81","Medfødt feil i øye IKA","Medfødt feil øye IKA","Q159","Uspesifisert medfødt misdannelse i øye","Q159 Uspesifisert medfødt misdannelse i øye"
"F82","Netthinneløsning/rift","Netthinneløsning/rift","H332","Serøs netthinneløsning","H332 Serøs netthinneløsning"
"F83","Retinopati","Retinopati","H350","Bakgrunnsretinopati og karforandringer i netthinne","H350 Bakgrunnsretinopati og karforandringer i netthinne"
"F84","Makuladegenerasjon","Makuladegenerasjon","H353","Degenerasjon av makula og bakre pol","H353 Degenerasjon av makula og bakre pol"
"F85","Hornhinnesår","Hornhinnesår","H160","Hornhinnesår (ulcus corneae)","H160 Hornhinnesår (ulcus corneae)"
"F86","Trakom","Trakom","A719","Uspesifisert trakom","A719 Uspesifisert trakom"
"F91","Brytningsforstyrrelse","Brytningsforstyrrelse","H527","Uspesifisert brytningsforstyrrelse","H527 Uspesifisert brytningsforstyrrelse"
"F92","Grå stær/katarakt","Grå stær/katarakt","H269","Uspesifisert grå stær","H269 Uspesifisert grå stær"
"F93","Glaukom","Glaukom","H409","Uspesifisert glaukom","H409 Uspesifisert glaukom"
"F94","Blindhet","Blindhet","H543","Ubestemt synstap, begge øyne","H543 Ubestemt synstap, begge øyne"
"F95","Skjeling/strabisme","Skjeling/strabisme","H509","Uspesifisert skjeling","H509 Uspesifisert skjeling"
