--ICPC-2n DAT bl 154b file with filename: AMF-v01-TXT_CSV.txt
--(Interncode: V403e) version Sep 29 2008  8:09AM
--This file is generated by KITH AS  Norway Dr.Terje Sagen 2008-09-29 08:09:45.130
--This file can be downloaded from http://www.kith.no/ICPC2e
--It contains 3797 rows
--Columns: Nivaa,AMF_Code,Decription_no,Level_code
"3","1120000000","Ikke-metaller: O, S, Se, Te, Po (grunnstoffer i gruppe VIb)","1120"
"3","1121000000","Halogener (grunnstoffer i gruppe VIIb)","1121"
"3","1122000000","Edelgasser (grunnstoffer i gruppe 0)","1122"
"3","1123000000","Lantanider","1123"
"3","1124000000","Ikke innesluttede radioaktive grunnstoffer","1124"
"3","1125000000","Innesluttede radioaktive grunnstoffer","1125"
"3","1126000000","Uorganiske syrer, anhydrider og løsninger","1126"
"3","1127000000","Uorganiske baser, anhydrider og løsninger","1127"
"3","1199999999","Andre uorganiske forbindelser","1199"
"3","1201000000","Mettede alifatiske kullvannstoff forbindelser","1201"
"3","1202000000","Umettede alifatiske kullvannstoff forbindelser","1202"
"3","1203000000","Mettede alicykliske kullvannstoff forbindelser","1203"
"3","1204000000","Umettede alicykliske kullvannstoff forbindelser","1204"
"3","1205000000","Aromatiske hydrokarboner","1205"
"3","1206000000","Heterocykliske forbindelser","1206"
"3","1207000000","Halogenerte derivater av kullvannstoff forbindelser","1207"
"3","1208000000","Alkoholer og polyalkoholer","1208"
"3","1209000000","Glykoler","1209"
"3","1210000000","Fenoler og derivater","1210"
"3","1211000000","Eterer og tioeterer","1211"
"3","1212000000","Anisoler, fenoleterer og derivater","1212"
"3","1213000000","Epoksider, oksiraner","1213"
"3","1214000000","Aldehyder","1214"
"3","1215000000","Ketoner, kinoner, ketener","1215"
"3","1216000000","Acetaler","1216"
"3","1217000000","Karboksylsyrer og  -persyrer","1217"
"3","1218000000","Sulfonsyrer og tiosyrer","1218"
"3","1219000000","Karboxylsyreanhydrider","1219"
"3","1220000000","Esterer","1220"
"3","1221000000","Esterer av uorganiske syrer","1221"
"3","1222000000","Sulfonsyreesterer och tioesterer","1222"
"3","1223000000","Salter av karboksylsyrer","1223"
"3","1224000000","Laktoner","1224"
"3","1225000000","Laktamer","1225"
"3","1226000000","Amider, sulfonamider, fosforamider og imider","1226"
"3","1227000000","Acylhalogenider","1227"
"3","1228000000","Sulfonylhalogenider","1228"
"3","1229000000","Nitriler, cyanater, isocyanater og cyanurater","1229"
"3","1230000000","Aminer og aminderivater, iminer","1230"
"3","1231000000","Nitrerte derivater","1231"
"3","1232000000","Hydrazo-, azo-, diazo- og azoksiderivat","1232"
"3","1233000000","Peroksider","1233"
"3","1234000000","Disulfider","1234"
"3","1235000000","Sulfoksider","1235"
"3","1236000000","Sulfoner","1236"
"3","1237000000","Metallorganiske forbindelser","1237"
"3","1238000000","Glykosider","1238"
"3","1239000000","Alkaloider","1239"
"3","1299999999","Andre organiske forbindelser","1299"
"3","1999999999","Andre kjemisk agens","1999"
"3","2001000000","Lydvibrasjoner","2001"
"3","2002000000","Mekaniske vibrasjoner","2002"
"3","2003000000","Trykk og vakuum forhold","2003"
"3","2004000000","Materialer som gjennom friksjon mot huden skaper hudsykdommer","2004"
"3","2005000000","Luftfuktighet","2005"
"3","2006000000","Ventilasjon","2006"
"3","2007000000","Temperaturforhold","2007"
"3","2008000000","Belysning","2008"
"3","2009000000","Ioniserende stråling","2009"
"3","2010000000","Ikke-ioniserende stråling","2010"
"3","2011000000","Inneklima (ikke industriell)","2011"
"3","3100","(NA Bakterier)","3100"
"3","3101","(NA Bakterier)","3101"
"3","3199999999","Andre bakterier","3199"
"3","3200","(NA Virus)","3200"
"3","3299999999","Andre virus","3299"
"3","3300","(NA Parasitter)","3300"
"3","3399999999","Andre parasitter","3399"
"3","3400","(NA Sopp (innkludert muggsopp))","3400"
"3","3499999999","Andre sopper","3499"
"3","3500","(NA Planter)","3500"
"3","3501000000","Produkter av vegetabilsk materiale","3501"
"3","3599999999","Andre planter og vegetabilske produkter","3599"
"3","3601000000","Protozoer","3601"
"3","3602000000","Svamp","3602"
"3","3603000000","Polyppdyr (Coel)","3603"
"3","3604000000","Bløtdyr (Molluscae)","3604"
"3","3605000000","Leddyr (Arthropoda)","3605"
"3","3606000000","Pigghuder (Echinodermata)","3606"
"3","3607000000","Virveldyr (Vertebrata)","3607"
"3","3610000000","Produkter fra dyr","3610"
"3","3699999999","Andre dyr eller produkter fra dyr","3699"
"3","3999999999","Andre biologiske stoffer","3999"
"3","4000010001","Fysiskt inaktivt arbeid (liten plass, stillesittende arbeid)","4101"
"3","4000010002","Stående stilling i for lang tid i strekk eller for ofte","4102"
"3","4000010003","Sittende stilling i for lang tid eller for ofte","4103"
"3","4000010004","Huksittende i for lang tid eller for ofte","4104"
"3","4000010005","Knestående (eller liggende) stilling i for lang tid eller for ofte","4105"
"3","4000010006","Stilling med støtte av armen","4106"
"3","4000010007","Stilling med håndleddstøtte","4107"
"3","4000010008","Stilling hvor en må strekke seg på tærene","4108"
"3","4000010009","Arbeid med armene over skulderhøyde","4109"
"3","4000019999","Andre arbeidsstillinger","4199"
"3","4000020001","Gjentatt (repetitivt) bæring","4201"
"3","4000020002","Bruk av  tungt verktøy med gjentatte bevegelser","4202"
"3","4000020003","Skyve eller trekke med en del av kroppen i gjentatte bevegelser","4203"
"3","4000020004","Gjentatte asymetriske bevegelser","4204"
"3","4000029999","Annet gjentakelses arbeid","4299"
"3","4000030001","Bæring i høyt tempo","4301"
"3","4000030002","Bruk av  tungt verktøy med raske bevegelser","4302"
"3","4000030003","Skyve eller trekke med en del av kroppen i høyt tempo","4303"
"3","4000030004","Asymetriske bevegelser i høyt tempo","4304"
"3","4000039999","Andre arbeidsbevegelser i høyt tempo","4399"
"3","4000040001","Gå - for lenge","4401"
"3","4000040002","Gå lange distanser frem og tilbake","4402"
"3","4000040003","Bøying - for ofte","4403"
"3","4000040004","Snu seg for ofte","4404"
"3","4000040005","Løfte armene for ofte","4405"
"3","4000040006","Uvanlige arbeidsbevegelser","4406"
"3","4000040007","Plutselige og uventede bevegelser","4407"
"3","4000040008","Asymetrisk bevegelse hvor den ene kroppshalvdelen arbeider ganske lenge","4408"
"3","4000040009","Bruk av  tunge verktøy med uhensiktsmessige bevegelser (kraftige bevegelser)","4409"
"3","4000049999","Andre arbeidsbevegelser","4499"
"3","4000050001","Løfting mens en går","4501"
"3","4000050002","Løfting mens en vrir seg","4502"
"3","4000050003","Løfting i ubalanse med den ene siden av kroppen","4503"
"3","4000050004","Tunge løft (>20 kg)","4504"
"3","4000050005","Løfting av for tunge ting med vridning","4505"
"3","4000050006","Løfting av for tunge ting, med den ene siden av kroppen","4506"
"3","4000059999","Andre løft og forflytning av objekter","4599"
"3","4000060001","Skyve eller trekke tunge objekter","4601"
"3","4000060002","Skyve eller trekke objekter skjevt med den ene siden av  kroppen","4602"
"3","4000060003","Skyve eller trekke med kroppen vridd","4603"
"3","4000069999","Andre måter å skyve eller trekke","4699"
"3","4000070001","Belastninger på stemmen","4701"
"3","4000070002","Belastning av øynene","4702"
"3","4000070003","Arbeid ved dataskjerm (også med tastatur og datamus)","4703"
"3","4000079999","Andre former for belastninger","4799"
"3","4999999999","Andre biomekaniske faktorer (forhold)","4999"
"3","5000010000","Arbeidstakt","5101"
"3","5000020000","Arbeidstidsordning","5102"
"3","5000030000","Lønnsordninger","5103"
"3","5000040000","Kvantitativa krav","5104"
"3","5000050000","Selvbestemmelse over arbeidet","5105"
"3","5000060000","Kvalitative krav","5106"
"3","5000070000","Sosiale kontakter","5207"
"3","5000080000","Relationer på arbeidsplassen","5208"
"3","5000090000","Risikoforhold","5309"
"3","5000100000","Traumatiske opplevelser (redsle, uro)","5310"
"3","5999999999","Andre psykososiale faktorer","5999"
"3","6000","(NA Industrielle faktorer, material og produkter)","6000"
"3","6001000000","Støv","6001"
"3","6002000000","Fibrer","6002"
"3","6003000000","Gass","6003"
"3","6004000000","Røyk","6004"
"3","6005000000","Damper og væsker","6005"
"3","6006000000","Forskjellige materialer og produkter","6006"
"3","6007000000","Diverse tilsetningsstoffer","6007"
"3","6008000000","Enzymer","6008"
"3","6009000000","Naturprodukter","6009"
"3","6010000000","Andre produkter og material","6010"
"3","6099999999","Andre industrielle faktorer, materialer og produkter","6999"
"3","9999999999","Andre stoffer","9999"
"4","0","Arbeidsmiljøfaktorer (svensk)","0"
"4","1101999999","Andre uorganiske hydrogenforbindelser","110199"
"4","1102010000","Litium","110201"
"4","1102020000","Natrium","110202"
"4","1102030000","Kalium","110203"
"4","1102040000","Rubidium","110204"
"4","1102050000","Cesium (om radioaktivt, se nr. 1 1 25 00 00 02)","110205"
"4","1102999999","Andre uorganiske forbindelser med alkalimetall: Li, Na, K, Rb","110299"
"4","1103010000","Beryllium","110301"
"4","1103020000","Magnesium","110302"
"4","1103030000","Kalsium","110303"
"4","1103040000","Strontium (om radioaktivt se nr. 1 1 25 00 00 06)","110304"
"4","1103050000","Barium","110305"
"4","1103999999","Andre uorganiske forbindelser med jordalkalimetall: Be, Mg, Ca, Sr, Ba","110399"
"4","1104010000","Skandium","110401"
"4","1104020000","Yttrium","110402"
"4","1104030000","Aktinium","110403"
"4","1104999999","Andre uorganiske forbindelser med innskuddsmetall: Sc, Y, Ac","110499"
"4","1105010000","Titan","110501"
"4","1105020000","Zirkonium","110502"
"4","1105030000","Hafnium","110503"
"4","1105999999","Andre uorganiske forbindelser med innskuddsmetall: Ti, Zr, Hf","110599"
"4","1106010000","Vanadium","110601"
"4","1106020000","Niob","110602"
"4","1106030000","Tantal","110603"
"4","1106999999","Andre uorganiske forbindelser med overgangsmetall: V, Nb, Ta","110699"
"4","1107010000","Krom","110701"
"4","1107020000","Molybden","110702"
"4","1107030000","Volfram","110703"
"4","1107999999","Andre uorganiske forbindelser med innskuddsmetall: Cr, Mo, W","110799"
"4","1108010000","Mangan","110801"
"4","1108020000","Technetium","110802"
"4","1108030000","Rhenium","110803"
"4","1108999999","Andre uorganiske forbindelser med overgansmetall: Mn, Tc, Re","110899"
"4","1109010000","Jern","110901"
"4","1109020000","Kobolt (om radioaktivt, se nr. 1 1 25 00 00 01)","110902"
"4","1109030000","Nikkel","110903"
"4","1109040000","Ruthenium","110904"
"4","1109050000","Rhodium","110905"
"4","1109060000","Palladium","110906"
"4","1109070000","Osmium","110907"
"4","1109080000","Iridium (om radioaktivt, se nr. 1 1 25 00 00 03)","110908"
"4","1109090000","Platina","110909"
"4","1109999999","Andre uorganiske forbindelser med overgangsmetall: Fe, Co, Ni, Ru, Rh, Pd, Os, Ir, Pt","110999"
"4","1110010000","Kobber","111001"
"4","1110020000","Sølv","111002"
"4","1110030000","Gull","111003"
"4","1110999999","Andre uorganiske forbindelser med innskuddsmetall: Cu, Ag, Au","111099"
"4","1111010000","Zink","111101"
"4","1111020000","Kadmium","111102"
"4","1111030000","Kvikksølv","111103"
"4","1111999999","Andre uorganiske forbindelser med innskuddsmetall: Zn, Cd, Hg","111199"
"4","111200","Bor","111200"
"4","1112999999","Andre uorganiske borforbindelser","111299"
"4","1113010000","Aluminium","111301"
"4","1113020000","Gallium","111302"
"4","1113030000","Indium","111303"
"4","1113040000","Thallium (om radioaktivt, se nr. 1 1 25 00 00 07)","111304"
"4","1113999999","Andre uorganiske forbindelser med ikke-metall: Al, Ga, In, Tl","111399"
"4","1114010000","Germanium","111401"
"4","1114020000","Tinn","111402"
"4","1114030000","Bly","111403"
"4","1114999999","Andre uorganiske forbindelser med icke-metall: Ge, Sn, Pb","111499"
"4","1115010000","Arsen","111501"
"4","1115020000","Antimon","111502"
"4","1115030000","Vismut","111503"
"4","1115999999","Andre uorganiske metaller: As, Sb, Bi","111599"
"4","1116999999","Andre uorganiske kullforbindelser","111699"
"4","1117999999","Andre uorganiske silisiumforbindelser","111799"
"4","1118999999","Andre uorganiske nitrogenforbindelser","111899"
"4","1119999999","Andre uorganiske fosforforbindelser","111999"
"4","1120010000","Surstoff","112001"
"4","1120020000","Svovel","112002"
"4","1120030000","Selen","112003"
"4","1120040000","Tellur","112004"
"4","1120050000","Polonium","112005"
"4","1120999999","Andre uorganiske forbindelser med ikke-metall: O, S, Se, Te, Po","112099"
"4","1121010000","Fluor","112101"
"4","1121020000","Klor","112102"
"4","1121030000","Brom","112103"
"4","1121040000","Jod (om radioaktivt se nr 1 1 24 00 00 08)","112104"
"4","1121050000","Astat","112105"
"4","1121999999","Andre uorganiske halogenforbindelser: F, Cl, Br, I, At","112199"
"4","1122999999","Andre edelgasser","112299"
"4","1124999999","Andre ikke innesluttede radioaktive grunnstoffer","112499"
"4","1125999999","Andre Innesluttede radioaktive grunnstoffer","112599"
"4","1126999999","Andre uorganiske syrer","112699"
"4","1127999999","Andre uorganiske baser","112799"
"4","1199999999","Andre uorganiske forbindelser","119999"
"4","1201010000","Paraffiner, alkaner","120101"
"4","1201999999","Andre mettede alifatiske kullvannstoff forbindelser","120199"
"4","1202010000","Olefiner, alkener","120201"
"4","1202020000","Alkyner","120202"
"4","1202999999","Andre umettede alifatiske kullvannstoff forbindelser","120299"
"4","1203010000","Cykloalkaner","120301"
"4","1203999999","Andre mettede alicykliske kullvannstoff forbindelser","120399"
"4","1204010000","Cykloalkener","120401"
"4","1204020000","Terpener","120402"
"4","1204999999","Andre umettede alicykliske kullvannstoff forbindelser","120499"
"4","1205010000","Monocykliske forbindelser","120501"
"4","1205020000","Polycykliske forbindelser","120502"
"4","1205999999","Andre aromatiske hydrokarboner","120599"
"4","1206010000","Iminer","120601"
"4","1206020000","Furan, furfuran","120602"
"4","1206030000","Tiofen","120603"
"4","1206040000","Pyrrol","120604"
"4","1206050000","Oxazol, isoxazol","120605"
"4","1206060000","Tiazol, isotiazol","120606"
"4","1206070000","Pyrazol, imidazol","120607"
"4","1206080000","Triazol","120608"
"4","1206090000","Tetrazol","120609"
"4","1206100000","Pyran","120610"
"4","1206110000","Oxazin","120611"
"4","1206120000","Dioxin","120612"
"4","1206130000","Pyridin","120613"
"4","1206140000","Pyridazin, pyrimidin, pyrazin, diaziner","120614"
"4","1206150000","Triazin","120615"
"4","1206160000","Tetrazin","120616"
"4","1206170000","Benzofuraner, kumaron","120617"
"4","1206180000","Indol, benzopyrrol","120618"
"4","1206190000","Benzotiofen","120619"
"4","1206200000","Indazol, benzimidazol","120620"
"4","1206210000","Benzoxazol","120621"
"4","1206220000","Benzotiazol","120622"
"4","1206230000","Kinolin, isokinolin","120623"
"4","1206240000","Benzopyridin","120624"
"4","1206250000","Benzopyridin","120625"
"4","1206260000","Xanten","120626"
"4","1206270000","Akridin, dibenzopyridin","120627"
"4","1206280000","Fenazin","120628"
"4","1206290000","Fentiazin","120629"
"4","1206300000","Fenoxazin","120630"
"4","1206999999","Andre heterocykliske forbindelser","120699"
"4","1207010000","Halogenerte derivater av mettede alifatiske kullvannstoff forbindelser","120701"
"4","1207020000","Halogenerte derivater av umettede alifatiske hydrokarboner","120702"
"4","1207030000","Halogenerte derivater av alicykliske hydrokarboner","120703"
"4","1207040000","Halogenerte derivater av aromatiske hydrokarboner","120704"
"4","1207050000","Halogenerte derivater av heterocykliske forbindelser","120705"
"4","1207999999","Andre halogenerte derivater av kullvannstoff forbindelser","120799"
"4","1208010000","Alifatiske alkoholer och polyalkoholer","120801"
"4","1208020000","Alicykliske alkoholer og polyalkoholer","120802"
"4","1208030000","Aromatiske alkoholer og polyalkoholer","120803"
"4","1208040000","Heterocykliske alkoholer og polyalkoholer","120804"
"4","1208999999","Andre alkoholer og polyalkoholer","120899"
"4","1209010000","Alifatiska glykoler","120901"
"4","1209020000","Alicykliska glykoler","120902"
"4","1209030000","Aromatiske glykoler","120903"
"4","1209040000","Heterocykliske glykoler","120904"
"4","1209999999","Andre glykoler","120999"
"4","1210999999","Andre fenoler","121099"
"4","1211010000","Alifatiske eterer og derivater","121101"
"4","1211020000","Glykoletrar","121102"
"4","1211030000","Alicykliske eterer","121103"
"4","1211040000","Aromatiske eterer","121104"
"4","1211050000","Heterocykliske eterer","121105"
"4","1211999999","Andre eterer og tioeterer","121199"
"4","1212010000","Anisoler, fenoleterer","121201"
"4","1212020000","Halogenerte derivater av fenoleterer","121202"
"4","1212999999","Andre anisoler, fenoleterer og derivater","121299"
"4","1213010000","Olefinepoksider och cykloalkanepoksider","121301"
"4","1213020000","Glycidylderivat","121302"
"4","1213999999","Andre epoksider","121399"
"4","1214010000","Mettede alifatiske aldehyder","121401"
"4","1214020000","Umettede alifatiske aldehyder","121402"
"4","1214030000","Alicykliske aldehyder","121403"
"4","1214040000","Aromatiske aldehyder","121404"
"4","1214050000","Heterocykliske aldehyder","121405"
"4","1214060000","Disulfitderivater av aldehyder","121406"
"4","1214070000","Halogenerte derivater av aldehyder","121407"
"4","1214999999","Andre aldehyder","121499"
"4","1215010000","Mettede alifatiske ketoner","121501"
"4","1215020000","Umettede alifatiske ketoner","121502"
"4","1215030000","Alicykliske ketoner","121503"
"4","1215040000","Aromatiske ketoner","121504"
"4","1215050000","Heterocykliske ketoner","121505"
"4","1215060000","Halogenerte ketonderivater","121506"
"4","1215070000","Kinoner","121507"
"4","1215080000","Ketener","121508"
"4","1215999999","Andre ketoner, kinoner, ketener","121599"
"4","1216010000","Alifatiske acetaler","121601"
"4","1216020000","Alicykliske acetaler","121602"
"4","1216030000","Aromatiske acetaler","121603"
"4","1216040000","Heterocykliske acetaler","121604"
"4","1216999999","Andre acetaler","121699"
"4","1217010000","Mettede alifatiske syrer","121701"
"4","1217020000","Umettede alifatiske syrer","121702"
"4","1217030000","Halogenerte alifatiske syrer","121703"
"4","1217040000","Alifatiske aminosyrer","121704"
"4","1217050000","Alifatiske ketonsyrer","121705"
"4","1217060000","Hydroxisyrer","121706"
"4","1217070000","Alicykliske syrer","121707"
"4","1217080000","Aromatiske syrer","121708"
"4","1217090000","Aromatiske aminosyrer","121709"
"4","1217100000","Substituerte aromatiske syrer","121710"
"4","1217110000","Heterocykliske syrer","121711"
"4","1217120000","Heterocykliske aminosyrer","121712"
"4","1217130000","Persyrer","121713"
"4","1217999999","Andre karboksylsyrer og -persyrer","121799"
"4","1218010000","Sulfonsyrer","121801"
"4","1218020000","Tiosyrer","121802"
"4","1218999999","Andre sulfon- og tiosyrer","121899"
"4","1219999999","Andre karboksylsyreanhydrider","121999"
"4","1220010000","Alifatiske esterer","122001"
"4","1220020000","Glykolesterer","122002"
"4","1220030000","Alicykliske esterer","122003"
"4","1220040000","Aromatiske esterer","122004"
"4","1220050000","Heterocykliske esterer","122005"
"4","1220999999","Andre esterer","122099"
"4","1221010000","Alkylkarbonater","122101"
"4","1221020000","Sulfater og sulfiter","122102"
"4","1221030000","Alkylfosfater, -fosfitter, -pyrofosfater oo -tiofosfater inklusive bekjempningsmiddel","122103"
"4","1221040000","Alkylnitrater og -nitriter","122104"
"4","1221050000","Alkylsilikater","122105"
"4","1221060000","Alkylborater","122106"
"4","1221070000","Karbamater, tiokarbamater og ditiokarbamater","122107"
"4","1221999999","Andre esterer av uorganiske syrer","122199"
"4","1222010000","Alkylsulfonater","122201"
"4","1222020000","Alkyltioglykolater","122202"
"4","1222999999","Andre sulfonsyreesterer og tioesterer","122299"
"4","1223010000","Salter av alifatiske karboksylsyrer","122301"
"4","1223020000","Salter av alifcykliske karboksylsyrer","122302"
"4","1223030000","Salter av aromatiske karboksylsyrer","122303"
"4","1223040000","Salter av heterocykliske karboksylsyrer","122304"
"4","1223999999","Andre salter av karboksylsyrer","122399"
"4","1224999999","Andre  laktoner","122499"
"4","1225999999","Andre laktamer","122599"
"4","1226010000","Amider","122601"
"4","1226020000","Sulfonamider","122602"
"4","1226030000","Fosforamider","122603"
"4","1226040000","Imider","122604"
"4","1226050000","Tiuramer","122605"
"4","1226999999","Andre amider, sulfonamider, fosforamider og imider","122699"
"4","1227010000","Acylklorider","122701"
"4","1227020000","Acylbromider","122702"
"4","1227030000","Acyljodider","122703"
"4","1227040000","Acylfluorider","122704"
"4","1227999999","Andre acylhalogenider","122799"
"4","1228999999","Andre sulfonylhalogenider","122899"
"4","1229010000","Nitriler","122901"
"4","1229020000","Cyanater og isocyanater","122902"
"4","1229030000","Cyanuratderivater og cyanider","122903"
"4","1229999999","Andre nitriler, cyanater, isocyanater og cyanurater","122999"
"4","1230010000","Alifatiske aminer","123001"
"4","1230020000","Alicykliske aminer","123002"
"4","1230030000","Aromatiske aminer","123003"
"4","1230040000","Heterocykliske aminer","123004"
"4","1230050000","Iminer (se også heterocykliske forbindelser)","123005"
"4","1230999999","Andre aminer, aminderivater og iminer","123099"
"4","1231010000","Nitrerte alifatiske derivater","123101"
"4","1231020000","Nitroklorerte alifatiske derivater","123102"
"4","1231030000","Nitrerte alicykliske derivater","123103"
"4","1231040000","Nitrerte og nitroklorerte aromatiske derivater","123104"
"4","1231050000","Nitrerte heterocykliske derivater","123105"
"4","1231999999","Andre nitrerte derivater","123199"
"4","1232010000","Hydraziner og hydrazoderivater","123201"
"4","1232020000","Azo- og diazoderivater","123202"
"4","1232030000","Azoksiderivat","123203"
"4","1232999999","Andre hydrazo-, azo-, diazo- og azoksiderivater","123299"
"4","1233999999","Andre peroksider","123399"
"4","1234999999","Andre disulfider","123499"
"4","1235999999","Andre sulfoksider","123599"
"4","1236999999","Andre sulfoner","123699"
"4","1237010000","Metallorganiske derivater","123701"
"4","1237020000","Organiske kiselforbindelser","123702"
"4","1237030000","Organiske kvikksølvforbindelser","123703"
"4","1237999999","Andre organiske metallforbindelser","123799"
"4","1238999999","Andre glykosider","123899"
"4","1239999999","Andre alkaloider","123999"
"4","1299999999","Andre organiske forbindelser","129999"
"4","1999999999","Övriga kemiska agens (svensk)","199999"
"4","2001010000","Hørlige lydvibrasjoner","200101"
"4","2001020000","Ikke hørlige lydvibrasjoner","200102"
"4","2001999999","Andre lydvibrasjoner","200199"
"4","2002000001","Vibrasjoner som overføres til armern og bein (maskiner, verktøy)","200201"
"4","2002000002","Vibrasjoner som overføres til hele kroppen (kjøretøy)","200202"
"4","2002999999","Andre mekaniske vibrationer","200299"
"4","2003000001","Overtrykk","200301"
"4","2003000002","Undrtrykk","200302"
"4","2003000003","Trykkbølger fra eksplosjon","200303"
"4","2003999999","Andre former for trykk","200399"
"4","2004000001","Materialer som håndteres (i industri og jordbruk)","200401"
"4","2004000002","Arbeidsklær","200402"
"4","2004999999","Andre typer material som gjennom friksjon mot huden skaper hudsykdommer","200499"
"4","2005000001","Fuktig luft (høy relativ luftfuktighet)","200501"
"4","2005000002","Tørr luft (lav relativ luftfuktighet)","200502"
"4","2005999999","Andre typer av luftfuktighet","200599"
"4","2006000001","Trekk og luftbevegelser","200601"
"4","2006000002","Innestengt luft, mangel på ventilasjon","200602"
"4","2006999999","Andre problemer med ventilasjonen","200699"
"4","2007000001","Varme (varme omgivelser, strålingsvarme)","200701"
"4","2007000002","Kulde (kalde omgivlser, kuldestråling)","200702"
"4","2007999999","Andre temperaturforhold","200799"
"4","2008000001","Dårlige kontraster","200801"
"4","2008000002","Direkte belysning","200802"
"4","2008000003","Lysreflekser","200803"
"4","2008000004","Belysning ofte for sterk","200804"
"4","2008000005","Belysning ofte for svak","200805"
"4","2008000006","Blendeing","200806"
"4","2008000007","Flimring","200807"
"4","2008999999","Andre typer belysning","200899"
"4","2009000001","Gammastråling","200901"
"4","2009000002","Røntgenstråling","200902"
"4","2009000003","Parteikkelstråling (alfa, beta, neutronståling og lignende)","200903"
"4","2009999999","Annen ioniserendre stråling","200999"
"4","2010010000","Optisk stråling","201001"
"4","2010020000","Elektromagnetiske felt (uspesifiserte)","201002"
"4","2010999999","Annen ikke-ioniserede stråling","201099"
"4","3100010000","Acetivibrio","310001"
"4","3100020000","Acetobacter","310002"
"4","3100030000","Acholeplasma","310003"
"4","3100040000","Acidaminococcus","310004"
"4","3100050000","Acinetobacter","310005"
"4","3100060000","Actinobacillus","310006"
